POS;FW;RV;;
1;-15;203;1868;1009
7;399;254;1868;1015
13;338;296;1868;912
19;302;296;1868;840
25;298;170;1868;822
31;285;129;1868;815
37;283;113;1868;834
43;266;114;1868;829
49;305;142;1868;826
57;314;173;1868;798
65;389;176;1868;794
72;370;120;1868;800
79;385;95;1868;806
86;385;86;1868;806
93;309;101;1868;798
100;419;87;1868;808
107;448;81;1868;818
115;448;95;1868;818
121;524;95;1868;806
128;591;105;1868;803
134;591;102;1868;819
141;591;113;1868;818
148;780;116;1868;813
154;835;108;1868;809
162;835;116;1868;825
170;844;109;1868;847
178;844;125;1868;861
184;587;121;1868;864
192;460;114;1868;860
200;460;124;1868;877
206;358;139;1868;879
214;358;150;1868;876
220;360;161;1868;863
229;360;146;1868;866
235;433;175;1390;860
243;433;151;1366;853
252;416;164;1367;843
258;416;131;1365;828
267;378;117;1352;817
276;378;116;1337;812
282;291;122;1334;811
291;291;128;1338;812
300;310;129;1312;823
306;310;110;1293;814
315;340;129;1311;814
324;348;115;1327;812
330;348;119;1339;815
339;358;117;1355;814
349;358;119;1369;818
355;371;113;1369;820
364;371;115;1352;826
373;374;121;1349;822
379;374;108;1376;828
389;355;108;1394;829
398;355;138;1379;829
404;324;128;1382;825
413;324;128;1392;842
422;363;125;1384;845
428;363;163;1351;844
437;342;157;1385;852
446;342;135;1409;885
452;402;135;1467;921
461;402;155;1494;938
470;373;180;1551;911
477;373;153;1581;931
486;380;160;1557;946
495;319;193;1530;916
502;319;225;1488;874
512;384;152;1440;885
521;384;153;1382;901
528;407;158;1349;848
537;407;158;1305;833
547;374;126;1296;833
554;374;134;1323;832
563;306;130;1305;832
573;306;128;1293;833
580;292;128;1298;834
589;305;134;1297;836
599;305;132;1296;836
605;328;133;1304;836
615;328;131;1357;839
625;359;131;1359;839
631;359;132;1330;840
641;390;132;1335;844
651;382;137;1364;852
657;382;148;1365;854
667;382;147;1354;854
676;332;175;1374;884
683;332;175;1377;888
692;265;208;1359;878
702;265;193;1360;924
709;371;240;1386;953
718;361;240;1378;972
728;361;206;1330;973
734;358;196;1338;969
744;358;196;1401;970
753;362;211;1384;931
760;362;226;1362;937
770;301;232;1397;956
779;301;232;1396;971
786;280;236;1368;971
796;366;222;1321;924
805;366;204;1343;916
812;366;204;1335;887
821;385;203;1318;874
831;385;160;1320;886
838;318;160;1308;882
847;207;159;1272;866
857;207;184;1284;847
864;297;162;1293;851
873;297;162;1329;847
883;268;166;1340;844
890;268;141;1365;854
899;380;150;1373;850
909;401;142;1363;853
915;401;142;1368;854
925;389;136;1389;861
935;389;168;1400;875
941;389;168;1389;863
951;350;167;1379;864
961;332;157;1380;880
967;332;157;1390;878
977;377;210;1387;889
987;377;160;1346;902
993;393;186;1343;940
1003;393;186;1323;938
1012;303;205;1274;914
1018;303;172;1223;947
1028;173;183;1205;951
1037;148;183;1195;943
1043;148;256;1174;908
1052;149;256;1157;923
1061;149;177;1153;934
1067;145;201;1152;964
1076;145;202;1151;924
1085;141;191;1148;892
1093;141;191;1147;888
1099;134;193;1145;882
1107;134;193;1140;889
1113;133;178;1140;915
1121;133;189;1135;894
1130;125;189;1131;879
1138;118;221;1125;879
1146;118;218;1123;868
1156;115;218;1124;867
1164;115;167;1119;858
1171;110;201;1115;851
1179;104;152;1113;877
1186;104;152;1114;906
1195;103;181;1110;907
1203;103;193;1109;890
1209;101;192;1105;1214
1216;92;192;1102;1214
1222;92;204;1102;1214
1231;88;178;1102;1214
1237;85;178;1097;1214
1243;85;178;1094;1214
1249;80;186;1095;1214
1255;77;230;1094;1214
1263;77;230;1088;1214
1269;76;222;1083;1214
1277;68;163;1084;1214
1283;70;163;1086;1214
1291;70;221;1082;1214
1297;66;203;1077;1214
1304;60;203;1076;1214
1311;60;155;1073;1214
1318;63;262;1073;1214
1326;63;264;1073;1214
1332;57;264;1070;1214
1339;57;273;1073;1214
1345;62;236;1074;1214
1352;63;236;1072;1214
1358;62;230;1071;1214
1366;64;263;1070;1214
1372;62;238;1070;1214
1378;64;193;1070;1214
1385;59;193;1070;1214
1391;62;193;1070;1214
1397;68;182;1071;1214
1404;77;162;1098;1214
1410;129;144;1114;1214
1416;126;140;1129;1214
1423;134;139;1126;1214
1429;121;129;1124;1214
1435;139;134;1128;1214
1441;152;115;1138;1214
1448;158;85;1158;1214
1454;147;73;1160;1214
